Date,FIPS,MMWR_week,Recip_County,Recip_State,Series_Complete_Pop_Pct,Series_Complete_Yes,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Completeness_pct,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,SVI_CTGY,Series_Complete_Pop_Pct_SVI,Series_Complete_12PlusPop_Pct_SVI,Series_Complete_18PlusPop_Pct_SVI,Series_Complete_65PlusPop_Pct_SVI,Metro_status,Series_Complete_Pop_Pct_UR_Equity,Series_Complete_12PlusPop_Pct_UR_Equity,Series_Complete_18PlusPop_Pct_UR_Equity,Series_Complete_65PlusPop_Pct_UR_Equity
11/16/2021,36047,46,Kings County,NY,61.1,1564315,1564160,72.6,1467479,74.1,264037,71.8,97.6,1774371,69.3,1768615,82.1,1656794,83.7,293798,79.9,D,16,16,16,16,Metro,4,4,4,4
11/16/2021,36061,46,New York County,NY,74.9,1219561,1219437,83.3,1162992,83.3,225554,81.7,97.6,1427429,87.6,1421656,97.1,1347592,96.5,258883,93.8,C,12,12,12,12,Metro,4,4,4,4
11/16/2021,36005,46,Bronx County,NY,62.6,887632,887553,75.2,816533,76.3,151476,80.2,97.6,1018855,71.8,1017145,86.1,933147,87.2,167978,89,D,16,16,16,16,Metro,4,4,4,4
11/16/2021,36085,46,Richmond County,NY,64.3,306292,306260,74.9,285961,76.8,66543,83.9,97.6,339530,71.3,338851,82.8,315665,84.8,72685,91.7,B,8,8,8,8,Metro,4,4,4,4
11/16/2021,36081,46,Queens County,NY,75.1,1693016,1692929,87.1,1578493,87.6,300492,81.6,97.6,1906774,84.6,1902110,97.9,1772751,98.4,339058,92.1,C,12,12,12,12,Metro,4,4,4,4
11/15/2021,36085,46,Richmond County,NY,64.3,305988,305956,74.8,285679,76.7,66506,83.9,97.6,338944,71.2,338462,82.8,315305,84.7,72641,91.6,B,8,8,8,8,Metro,4,4,4,4
11/15/2021,36047,46,Kings County,NY,61,1562430,1562278,72.6,1465706,74.1,263812,71.7,97.6,1770276,69.2,1766108,82.0,1654387,83.6,293490,79.8,D,16,16,16,16,Metro,4,4,4,4
11/15/2021,36061,46,New York County,NY,74.8,1218613,1218490,83.2,1162120,83.2,225416,81.6,97.6,1423483,87.4,1419670,97.0,1345663,96.4,258647,93.7,C,12,12,12,12,Metro,4,4,4,4
11/15/2021,36081,46,Queens County,NY,75.1,1691588,1691502,87,1577169,87.5,300283,81.5,97.6,1903134,84.4,1900036,97.8,1770754,98.2,338537,91.9,C,12,12,12,12,Metro,4,4,4,4
11/15/2021,36005,46,Bronx County,NY,62.5,886403,886324,75,815422,76.2,151360,80.2,97.6,1016906,71.7,1015954,86.0,932054,87.1,167820,88.9,D,16,16,16,16,Metro,4,4,4,4
11/14/2021,36047,46,Kings County,NY,61,1561162,1561010,72.5,1464612,74,263669,71.7,97.6,1767123,69,1764289,81.9,1652703,83.5,293294,79.7,D,16,16,16,16,Metro,4,4,4,4
11/14/2021,36085,46,Richmond County,NY,64.2,305765,305733,74.8,285498,76.7,66486,83.8,97.6,338619,71.1,338271,82.7,315149,84.6,72608,91.6,B,8,8,8,8,Metro,4,4,4,4
11/14/2021,36005,46,Bronx County,NY,62.5,885878,885799,75,814972,76.2,151311,80.2,97.6,1016058,71.6,1015316,86.0,931499,87.1,167736,88.9,D,16,16,16,16,Metro,4,4,4,4
11/14/2021,36061,46,New York County,NY,74.8,1217995,1217872,83.2,1161550,83.2,225315,81.6,97.6,1420821,87.2,1417961,96.8,1344003,96.2,258472,93.6,C,12,12,12,12,Metro,4,4,4,4
11/14/2021,36081,46,Queens County,NY,75,1690365,1690279,87,1576085,87.4,300112,81.5,97.6,1900378,84.3,1898185,97.7,1769014,98.1,338154,91.8,C,12,12,12,12,Metro,4,4,4,4
11/13/2021,36047,45,Kings County,NY,60.9,1559250,1559104,72.4,1462989,73.9,263506,71.6,97.6,1762839,68.9,1762008,81.8,1650648,83.4,293045,79.7,D,16,16,16,16,Metro,4,4,4,4
11/13/2021,36005,45,Bronx County,NY,62.4,884644,884565,74.9,813935,76.1,151182,80.1,97.6,1014155,71.5,1013884,85.9,930263,87,167490,88.7,D,16,16,16,16,Metro,4,4,4,4
11/13/2021,36085,45,Richmond County,NY,64.1,305358,305326,74.7,285147,76.6,66450,83.8,97.6,337936,71,337879,82.6,314802,84.5,72552,91.5,B,8,8,8,8,Metro,4,4,4,4
11/13/2021,36047,45,Kings County,NY,60.9,1559250,1559104,72.4,1462989,73.9,263506,71.6,97.6,1762839,68.9,1762008,81.8,1650648,83.4,293045,79.7,D,16,16,16,16,Metro,4,4,4,4
11/13/2021,36081,45,Queens County,NY,74.9,1688732,1688648,86.9,1574665,87.4,299896,81.4,97.6,1896459,84.1,1895878,97.6,1766903,98,337673,91.7,C,12,12,12,12,Metro,4,4,4,4
11/13/2021,36005,45,Bronx County,NY,62.4,884644,884565,74.9,813935,76.1,151182,80.1,97.6,1014155,71.5,1013884,85.9,930263,87,167490,88.7,D,16,16,16,16,Metro,4,4,4,4
11/13/2021,36085,45,Richmond County,NY,64.1,305358,305326,74.7,285147,76.6,66450,83.8,97.6,337936,71,337879,82.6,314802,84.5,72552,91.5,B,8,8,8,8,Metro,4,4,4,4
11/13/2021,36081,45,Queens County,NY,74.9,1688732,1688648,86.9,1574665,87.4,299896,81.4,97.6,1896459,84.1,1895878,97.6,1766903,98,337673,91.7,C,12,12,12,12,Metro,4,4,4,4
11/13/2021,36061,45,New York County,NY,74.7,1217189,1217066,83.1,1160836,83.1,225214,81.6,97.6,1417262,87,1416281,96.7,1342414,96.1,258281,93.5,C,12,12,12,12,Metro,4,4,4,4
11/13/2021,36061,45,New York County,NY,74.7,1217189,1217066,83.1,1160836,83.1,225214,81.6,97.6,1417262,87,1416281,96.7,1342414,96.1,258281,93.5,C,12,12,12,12,Metro,4,4,4,4
11/12/2021,36061,45,New York County,NY,74.7,1216128,1216006,83,1159863,83.1,225089,81.5,97.6,1414845,86.9,1414033,96.6,1340263,96,257941,93.4,C,12,12,12,12,Metro,4,4,4,4
11/12/2021,36085,45,Richmond County,NY,64.1,305029,304997,74.6,284852,76.5,66416,83.8,97.6,337577,70.9,337522,82.5,314477,84.4,72484,91.4,B,8,8,8,8,Metro,4,4,4,4
11/12/2021,36005,45,Bronx County,NY,62.3,883086,883007,74.8,812632,76,151054,80,97.6,1012457,71.4,1012227,85.7,928859,86.8,167251,88.6,D,16,16,16,16,Metro,4,4,4,4
11/12/2021,36081,45,Queens County,NY,74.8,1686782,1686698,86.8,1572895,87.3,299662,81.4,97.6,1893798,84,1893432,97.4,1764636,97.9,337052,91.5,C,12,12,12,12,Metro,4,4,4,4
11/12/2021,36047,45,Kings County,NY,60.8,1556851,1556706,72.3,1460798,73.8,263255,71.6,97.6,1760190,68.8,1759466,81.7,1648346,83.3,292719,79.6,D,16,16,16,16,Metro,4,4,4,4
11/11/2021,36005,45,Bronx County,NY,62.2,881744,881665,74.7,811484,75.9,150936,80,97.6,1011089,71.3,1010873,85.6,927721,86.7,167122,88.5,D,16,16,16,16,Metro,4,4,4,4
11/11/2021,36047,45,Kings County,NY,60.7,1554753,1554609,72.2,1458888,73.7,263041,71.5,97.6,1757992,68.7,1757335,81.6,1646439,83.2,292448,79.5,D,16,16,16,16,Metro,4,4,4,4
11/11/2021,36061,45,New York County,NY,74.6,1215197,1215075,83,1159025,83,224964,81.5,97.6,1413227,86.8,1412493,96.5,1338817,95.9,257731,93.3,C,12,12,12,12,Metro,4,4,4,4
11/11/2021,36081,45,Queens County,NY,74.8,1685333,1685249,86.7,1571573,87.2,299492,81.3,97.6,1892185,84,1891837,97.4,1763236,97.8,336786,91.4,C,12,12,12,12,Metro,4,4,4,4
11/11/2021,36085,45,Richmond County,NY,64,304594,304562,74.5,284466,76.4,66370,83.7,97.6,337196,70.8,337143,82.4,314146,84.3,72410,91.3,B,8,8,8,8,Metro,4,4,4,4
11/10/2021,36047,45,Kings County,NY,60.6,1552488,1552344,72.1,1456812,73.6,262761,71.4,97.6,1755497,68.6,1754952,81.5,1644190,83.1,292142,79.4,D,16,16,16,16,Metro,4,4,4,4
11/10/2021,36085,45,Richmond County,NY,63.9,304219,304187,74.4,284116,76.3,66341,83.7,97.6,336736,70.7,336685,82.3,313724,84.2,72338,91.2,B,8,8,8,8,Metro,4,4,4,4
11/10/2021,36081,45,Queens County,NY,74.7,1683588,1683504,86.6,1569975,87.1,299272,81.3,97.6,1890022,83.9,1889748,97.2,1761280,97.7,336325,91.3,C,12,12,12,12,Metro,4,4,4,4
11/10/2021,36005,45,Bronx County,NY,62.1,880170,880091,74.5,810101,75.7,150821,79.9,97.6,1009393,71.2,1009197,85.5,926240,86.6,166924,88.4,D,16,16,16,16,Metro,4,4,4,4
11/10/2021,36061,45,New York County,NY,74.5,1214148,1214026,82.9,1158056,82.9,224842,81.4,97.6,1410964,86.6,1410368,96.3,1336799,95.7,257415,93.2,C,12,12,12,12,Metro,4,4,4,4
11/09/2021,36081,45,Queens County,NY,74.6,1681946,1681862,86.5,1568473,87,299102,81.2,97.6,1888047,83.8,1887840,97.1,1759485,97.6,335947,91.2,C,12,12,12,12,Metro,4,4,4,4
11/09/2021,36085,45,Richmond County,NY,63.8,303794,303762,74.3,283732,76.2,66313,83.6,97.6,336350,70.6,336301,82.2,313383,84.1,72290,91.2,B,8,8,8,8,Metro,4,4,4,4
